Time	MABP [mmHg]	CBFV-L [cm/s]	CBFV-R [cm/s]	etCO2 [kPa]	MN					
24.8000	82.3917	69.9516	0.0000	4.0369	2.0000
24.9000	82.1797	69.4978	0.0000	4.0336	2.0000
25.0000	81.9677	69.0440	0.0000	4.0304	2.0000
25.1000	81.7557	68.5902	0.0000	4.0271	2.0000
25.2000	81.5437	68.1364	0.0000	4.0238	2.0000
25.3000	81.3317	67.6826	0.0000	4.0206	2.0000
25.4000	81.1196	67.2288	0.0000	4.0173	2.0000
25.5000	80.9583	66.9270	0.0000	4.0140	2.0000
25.6000	80.8336	66.7355	0.0000	4.0107	2.0000
25.7000	80.7090	66.5439	0.0000	4.0075	2.0000
25.8000	80.5843	66.3523	0.0000	4.0042	2.0000
25.9000	80.4597	66.1607	0.0000	4.0009	2.0000
26.0000	80.3350	65.9691	0.0000	3.9977	2.0000
26.1000	80.2104	65.7775	0.0000	3.9944	2.0000
26.2000	80.0857	65.5859	0.0000	3.9911	2.0000
26.3000	79.9967	65.4374	0.0000	3.9879	2.0000
26.4000	80.0701	65.4855	0.0000	3.9846	2.0000
26.5000	80.1434	65.5336	0.0000	3.9813	2.0000
26.6000	80.2167	65.5817	0.0000	3.9780	2.0000
26.7000	80.2900	65.6297	0.0000	3.9748	2.0000
26.8000	80.3634	65.6778	0.0000	3.9715	2.0000
26.9000	80.4367	65.7259	0.0000	3.9677	2.0000
27.0000	80.5100	65.7740	0.0000	3.9628	2.0000
27.1000	80.5834	65.8221	0.0000	3.9579	2.0000
27.2000	80.5365	65.7768	0.0000	3.9530	2.0000
27.3000	80.3694	65.6383	0.0000	3.9482	2.0000
27.4000	80.2023	65.4998	0.0000	3.9433	2.0000
27.5000	80.0352	65.3613	0.0000	3.9384	2.0000
27.6000	79.8681	65.2228	0.0000	3.9336	2.0000
27.7000	79.7011	65.0843	0.0000	3.9287	2.0000
27.8000	79.5340	64.9457	0.0000	3.9238	2.0000
27.9000	79.3669	64.8072	0.0000	3.9190	2.0000
28.0000	79.1998	64.6687	0.0000	3.9141	2.0000
28.1000	78.9546	64.4514	0.0000	3.9092	2.0000
28.2000	78.6480	64.1721	0.0000	3.9043	2.0000
28.3000	78.3414	63.8928	0.0000	3.8995	2.0000
28.4000	78.0348	63.6136	0.0000	3.8946	2.0000
28.5000	77.7282	63.3343	0.0000	3.8897	2.0000
28.6000	77.4216	63.0550	0.0000	3.8849	2.0000
28.7000	77.1150	62.7758	0.0000	3.8800	2.0000
28.8000	76.8084	62.4965	0.0000	3.8751	2.0000
28.9000	76.5018	62.2172	0.0000	3.8702	2.0000
29.0000	76.4487	62.4058	0.0000	3.8654	2.0000
29.1000	76.4437	62.6836	0.0000	3.8605	2.0000
29.2000	76.4388	62.9613	0.0000	3.8556	2.0000
29.3000	76.4339	63.2390	0.0000	3.8508	2.0000
29.4000	76.4289	63.5167	0.0000	3.8459	2.0000
29.5000	76.4240	63.7945	0.0000	3.8410	2.0000
29.6000	76.4191	64.0722	0.0000	3.8361	2.0000
