Time	MABP [mmHg]	CBFV-L [cm/s]	CBFV-R [cm/s]	etCO2 [kPa]	MN					
26.7000	69.2295	61.8032	55.5867	5.4435	2.0000
26.8000	69.0366	61.5953	55.2841	5.4454	2.0000
26.9000	68.8438	61.3874	54.9814	5.4473	2.0000
27.0000	68.6509	61.1795	54.6788	5.4491	2.0000
27.1000	68.4581	60.9716	54.3761	5.4510	2.0000
27.2000	68.2997	60.8310	54.1352	5.4529	2.0000
27.3000	68.3224	61.0441	54.2182	5.4503	2.0000
27.4000	68.3451	61.2571	54.3011	5.4470	2.0000
27.5000	68.3678	61.4702	54.3841	5.4437	2.0000
27.6000	68.3905	61.6832	54.4671	5.4404	2.0000
27.7000	68.4132	61.8962	54.5501	5.4371	2.0000
27.8000	68.4359	62.1093	54.6330	5.4338	2.0000
27.9000	68.4586	62.3223	54.7160	5.4305	2.0000
28.0000	68.4813	62.5354	54.7990	5.4272	2.0000
28.1000	68.5040	62.7484	54.8820	5.4239	2.0000
28.2000	68.5267	62.9614	54.9650	5.4206	2.0000
28.3000	68.5494	63.1745	55.0479	5.4173	2.0000
28.4000	68.5721	63.3875	55.1309	5.4140	2.0000
28.5000	68.5164	63.4794	55.2334	5.4107	2.0000
28.6000	68.3992	63.4760	55.3513	5.4074	2.0000
28.7000	68.2819	63.4727	55.4692	5.4041	2.0000
28.8000	68.1646	63.4694	55.5871	5.4008	2.0000
28.9000	68.0473	63.4660	55.7050	5.3975	2.0000
29.0000	67.9301	63.4627	55.8229	5.3942	2.0000
29.1000	67.8128	63.4593	55.9408	5.3909	2.0000
29.2000	67.6955	63.4560	56.0587	5.3876	2.0000
29.3000	67.5782	63.4526	56.1766	5.3843	2.0000
29.4000	67.4609	63.4493	56.2945	5.3810	2.0000
29.5000	67.3437	63.4460	56.4124	5.3777	2.0000
29.6000	67.2264	63.4426	56.5303	5.3744	2.0000
29.7000	67.1091	63.4393	56.6482	5.3711	2.0000
29.8000	66.9677	63.3257	56.7280	5.3678	2.0000
29.9000	66.8258	63.2100	56.8071	5.3645	2.0000
30.0000	66.6839	63.0942	56.8862	5.3612	2.0000
30.1000	66.5420	62.9784	56.9653	5.3579	2.0000
30.2000	66.4001	62.8626	57.0444	5.3546	2.0000
30.3000	66.2581	62.7469	57.1235	5.3513	2.0000
30.4000	66.1162	62.6311	57.2026	5.3480	2.0000
30.5000	65.9743	62.5153	57.2817	5.3447	2.0000
30.6000	65.8324	62.3995	57.3608	5.3414	2.0000
30.7000	65.6905	62.2837	57.4399	5.3446	2.0000
30.8000	65.5486	62.1680	57.5190	5.3484	2.0000
30.9000	65.4067	62.0522	57.5980	5.3522	2.0000
31.0000	65.4639	62.2825	57.8817	5.3559	2.0000
31.1000	65.5339	62.5350	58.1785	5.3597	2.0000
31.2000	65.6039	62.7874	58.4752	5.3635	2.0000
31.3000	65.6739	63.0398	58.7720	5.3673	2.0000
31.4000	65.7438	63.2923	59.0687	5.3710	2.0000
31.5000	65.8138	63.5447	59.3655	5.3748	2.0000
31.6000	65.8838	63.7971	59.6622	5.3786	2.0000
31.7000	65.9537	64.0496	59.9590	5.3823	2.0000
31.8000	66.0237	64.3020	60.2558	5.3861	2.0000
31.9000	66.0937	64.5545	60.5525	5.3899	2.0000
32.0000	66.1637	64.8069	60.8493	5.3937	2.0000
32.1000	66.2336	65.0593	61.1460	5.3974	2.0000
32.2000	66.2322	65.1578	61.2861	5.4012	2.0000
32.3000	66.2083	65.2077	61.3767	5.4050	2.0000
32.4000	66.1843	65.2576	61.4672	5.4088	2.0000
32.5000	66.1604	65.3075	61.5578	5.4125	2.0000
32.6000	66.1364	65.3574	61.6484	5.4163	2.0000
32.7000	66.1125	65.4073	61.7390	5.4201	2.0000
32.8000	66.0885	65.4572	61.8296	5.4238	2.0000
32.9000	66.0646	65.5071	61.9202	5.4276	2.0000
33.0000	66.0406	65.5570	62.0108	5.4314	2.0000
33.1000	66.0167	65.6069	62.1013	5.4352	2.0000
33.2000	65.9927	65.6568	62.1919	5.4389	2.0000
33.3000	65.9688	65.7067	62.2825	5.4427	2.0000
33.4000	66.0117	65.7506	62.2771	5.4465	2.0000
33.5000	66.0923	65.7911	62.2178	5.4503	2.0000
33.6000	66.1729	65.8316	62.1584	5.4540	2.0000
33.7000	66.2534	65.8721	62.0990	5.4578	2.0000
33.8000	66.3340	65.9126	62.0397	5.4616	2.0000
33.9000	66.4146	65.9531	61.9803	5.4653	2.0000
34.0000	66.4952	65.9936	61.9210	5.4691	2.0000
34.1000	66.5757	66.0341	61.8616	5.4729	2.0000
34.2000	66.6563	66.0746	61.8022	5.4767	2.0000
34.3000	66.7369	66.1151	61.7429	5.4804	2.0000
34.4000	66.8175	66.1556	61.6835	5.4842	2.0000
34.5000	66.8980	66.1961	61.6241	5.4880	2.0000
34.6000	67.1433	66.4237	61.8553	5.4918	2.0000
34.7000	67.4154	66.6817	62.1339	5.4950	2.0000
34.8000	67.6875	66.9398	62.4124	5.4978	2.0000
34.9000	67.9596	67.1979	62.6909	5.5006	2.0000
35.0000	68.2316	67.4560	62.9694	5.5035	2.0000
35.1000	68.5037	67.7140	63.2479	5.5063	2.0000
35.2000	68.7758	67.9721	63.5264	5.5091	2.0000
35.3000	69.0479	68.2302	63.8049	5.5119	2.0000
35.4000	69.3200	68.4882	64.0834	5.5147	2.0000
35.5000	69.5921	68.7463	64.3619	5.5176	2.0000
35.6000	69.8641	69.0044	64.6404	5.5204	2.0000
35.7000	70.1362	69.2624	64.9189	5.5232	2.0000
35.8000	70.2192	69.2804	64.9423	5.5260	2.0000
35.9000	70.2132	69.1854	64.8456	5.5288	2.0000
36.0000	70.2072	69.0904	64.7489	5.5317	2.0000
36.1000	70.2013	68.9954	64.6522	5.5345	2.0000
36.2000	70.1953	68.9005	64.5555	5.5373	2.0000
36.3000	70.1893	68.8055	64.4587	5.5401	2.0000
36.4000	70.1833	68.7105	64.3620	5.5429	2.0000
36.5000	70.1773	68.6155	64.2653	5.5458	2.0000
36.6000	70.1713	68.5205	64.1686	5.5486	2.0000
36.7000	70.1654	68.4255	64.0719	5.5514	2.0000
36.8000	70.1594	68.3305	63.9752	5.5542	2.0000
36.9000	70.1534	68.2355	63.8785	5.5570	2.0000
37.0000	70.1047	68.0853	63.7558	5.5599	2.0000
37.1000	70.0224	67.8918	63.6127	5.5627	2.0000
37.2000	69.9401	67.6982	63.4695	5.5655	2.0000
37.3000	69.8579	67.5046	63.3264	5.5683	2.0000
37.4000	69.7756	67.3110	63.1833	5.5711	2.0000
37.5000	69.6933	67.1174	63.0402	5.5740	2.0000
37.6000	69.6111	66.9238	62.8971	5.5768	2.0000
37.7000	69.5288	66.7303	62.7539	5.5796	2.0000
37.8000	69.4465	66.5367	62.6108	5.5824	2.0000
37.9000	69.3643	66.3431	62.4677	5.5852	2.0000
38.0000	69.2820	66.1495	62.3246	5.5881	2.0000
38.1000	69.1997	65.9559	62.1815	5.5892	2.0000
38.2000	69.2438	65.9265	62.1478	5.5851	2.0000
38.3000	69.3322	65.9547	62.1526	5.5809	2.0000
38.4000	69.4206	65.9830	62.1573	5.5768	2.0000
38.5000	69.5090	66.0113	62.1621	5.5726	2.0000
38.6000	69.5975	66.0395	62.1669	5.5685	2.0000
38.7000	69.6859	66.0678	62.1717	5.5643	2.0000
38.8000	69.7743	66.0960	62.1764	5.5602	2.0000
38.9000	69.8627	66.1243	62.1812	5.5560	2.0000
39.0000	69.9511	66.1525	62.1860	5.5519	2.0000
39.1000	70.0395	66.1808	62.1908	5.5478	2.0000
39.2000	70.1280	66.2090	62.1955	5.5436	2.0000
39.3000	70.2164	66.2373	62.2003	5.5395	2.0000
39.4000	70.1688	66.1462	62.1154	5.5353	2.0000
